                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.99172,                 1.3197,                0.50461,                0.91884,                0.85088,                0.72359,                0.79421,                0.53503,                 0.8088,                0.66974,                0.73029,                0.42249,                  1.031,                 1.5992,                0.60985,                 1.0716,              0.0015405,              0.0015405,              0.0015405
                     25,                0.94726,                 1.3029,                 0.4962,                0.92401,                0.60928,                0.69421,                0.65548,                0.47289,                0.58565,                0.67741,                0.63115,                0.40326,                0.99443,                 1.4849,                0.55646,                 1.0594,               0.001535,               0.001535,               0.001535
                     26,                 1.0047,                 1.3425,                0.50818,                0.92742,                0.84188,                0.76933,                0.81385,                0.57988,                0.81846,                0.75164,                0.79325,                0.49525,                  1.004,                 1.4696,                0.53699,                  1.067,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0064,                 1.3472,                0.51338,                0.93722,                0.88461,                0.73276,                0.79113,                0.58797,                 0.8967,                 0.7094,                0.78122,                0.52042,                0.97665,                 1.4743,                0.53378,                 1.0397,               0.001524,               0.001524,               0.001524
                     28,                0.98681,                 1.3542,                0.50955,                0.93187,                0.89136,                0.65418,                0.78796,                0.55779,                 0.8825,                0.63312,                0.75717,                0.47612,                0.96934,                 1.5305,                0.53083,                 1.0498,              0.0015185,              0.0015185,              0.0015185
                     29,                0.97923,                   1.29,                0.50117,                0.91435,                0.74973,                0.65611,                0.70479,                0.50787,                0.75289,                0.63714,                0.68138,                0.43184,                0.98386,                 1.4615,                0.52637,                 1.0718,               0.001513,               0.001513,               0.001513
                     30,                0.97725,                 1.2994,                0.50914,                0.92714,                0.67448,                0.69577,                0.68428,                0.44584,                0.67238,                0.71234,                0.67566,                0.41683,                 0.9518,                 1.4764,                 0.5192,                  1.033,              0.0015075,              0.0015075,              0.0015075
                     31,                0.93847,                 1.2383,                 0.4911,                  0.906,                0.67779,                 0.7351,                0.65363,                 0.4324,                0.65552,                0.70665,                0.65036,                0.37279,                0.97632,                 1.5992,                0.55702,                 1.0417,               0.001502,               0.001502,               0.001502
                     32,                 0.9425,                 1.3074,                0.49798,                0.92478,                0.82104,                 0.7287,                0.77005,                0.50628,                0.81269,                0.71799,                0.75173,                 0.4675,                0.96908,                 1.5276,                0.55675,                 1.0376,              0.0014965,              0.0014965,              0.0014965
                     33,                0.93741,                  1.274,                 0.4947,                 0.9263,                0.74171,                0.63363,                0.72257,                0.45582,                 0.6463,                0.68393,                0.66457,                0.38818,                 1.0255,                 1.5506,                 0.5649,                 1.0709,               0.001491,               0.001491,               0.001491
                     34,                0.94473,                 1.2341,                0.49484,                0.91739,                0.73729,                0.62812,                0.66248,                0.44713,                0.66784,                0.54724,                0.60155,                0.38433,                0.96994,                 1.4801,                0.53808,                 1.0363,              0.0014855,              0.0014855,              0.0014855
                     35,                 0.9694,                 1.2887,                0.49905,                 0.9159,                0.58675,                0.63308,                0.52619,                0.36415,                 0.6153,                0.51656,                0.49572,                0.29133,                0.96973,                 1.5055,                0.51579,                 1.0432,                0.00148,                0.00148,                0.00148
                     36,                0.93004,                 1.2525,                0.48972,                0.91265,                0.88221,                0.65178,                0.71073,                0.48471,                0.85582,                 0.6344,                0.68179,                0.39225,                0.99577,                 1.4688,                0.56735,                 1.0576,              0.0014745,              0.0014745,              0.0014745
                     37,                 0.9084,                 1.2299,                0.46946,                0.90802,                0.72771,                0.77647,                0.72777,                0.52864,                  0.682,                0.72537,                0.68879,                0.46103,                 0.9422,                 1.4141,                0.51278,                 1.0371,               0.001469,               0.001469,               0.001469
                     38,                0.90787,                 1.2281,                0.47983,                0.90942,                0.76315,                0.64867,                0.74858,                0.51168,                0.75426,                0.62751,                0.71811,                0.47873,                0.94217,                 1.4359,                0.51732,                 1.0335,              0.0014635,              0.0014635,              0.0014635
                     39,                0.92745,                 1.2461,                0.48127,                0.90431,                0.76768,                0.76978,                0.74297,                0.52264,                  0.724,                0.72012,                0.70107,                0.47312,                0.96985,                 1.5484,                0.50874,                 1.0352,               0.001458,               0.001458,               0.001458
                     40,                 0.9348,                 1.2277,                0.47984,                0.90116,                0.89072,                0.72172,                0.84486,                0.59535,                0.87677,                0.70416,                 0.8188,                0.53759,                0.98956,                 1.5821,                0.51134,                 1.0513,              0.0014525,              0.0014525,              0.0014525
                     41,                0.92101,                 1.2571,                0.47369,                0.90265,                0.72744,                0.72684,                0.74175,                0.53634,                0.71619,                 0.7316,                0.72224,                0.49565,                0.93938,                 1.4812,                0.50695,                 1.0178,               0.001447,               0.001447,               0.001447
                     42,                0.88737,                  1.208,                0.47039,                0.91031,                0.86143,                0.68705,                0.79476,                0.53071,                0.88874,                0.67237,                0.76726,                0.52597,                0.94791,                 1.4435,                 0.5306,                 1.0336,              0.0014415,              0.0014415,              0.0014415
                     43,                0.91096,                  1.231,                0.48068,                0.90868,                0.83055,                0.69365,                0.77535,                0.51866,                0.81283,                0.67931,                0.74231,                0.40124,                0.92719,                 1.4822,                 0.5187,                 1.0313,               0.001436,               0.001436,               0.001436
                     44,                0.89879,                 1.1985,                0.46534,                0.90084,                0.80069,                0.73776,                0.75385,                0.54723,                0.76507,                0.68409,                0.71293,                0.45371,                0.93478,                 1.4684,                0.50573,                 1.0363,              0.0014305,              0.0014305,              0.0014305
                     45,                0.90936,                  1.218,                0.46847,                0.91034,                0.75361,                0.71105,                0.72507,                0.49578,                0.67258,                0.75501,                0.66164,                0.43639,                0.94258,                 1.4459,                0.50803,                 1.0357,               0.001425,               0.001425,               0.001425
                     46,                0.89182,                 1.1876,                0.46688,                0.90045,                 0.6806,                0.75312,                0.73306,                0.53705,                0.76317,                 0.6154,                0.69709,                0.49416,                0.92096,                 1.4332,                 0.4932,                 1.0258,              0.0014195,              0.0014195,              0.0014195
                     47,                0.88777,                  1.186,                0.46431,                 0.9073,                0.91283,                0.74986,                0.85633,                0.60274,                 0.9026,                0.72895,                0.80796,                0.54594,                0.98542,                 1.5061,                0.50276,                 1.0434,              0.0014139,              0.0014139,              0.0014139
                     48,                 0.8736,                 1.1408,                 0.4596,                0.89842,                0.76845,                 0.7489,                0.71875,                0.51276,                0.74816,                0.73577,                0.69521,                0.47105,                0.99191,                 1.4326,                0.50392,                 1.0513,              0.0014084,              0.0014084,              0.0014084
                     49,                0.86821,                 1.1248,                0.45383,                0.89795,                0.78711,                0.79288,                0.80193,                 0.5632,                0.78392,                0.76652,                0.77874,                0.52703,                0.92691,                  1.354,                0.50087,                 1.0325,              0.0014029,              0.0014029,              0.0014029
                     50,                0.86785,                 1.1363,                0.44803,                0.89418,                0.75279,                0.75993,                0.80424,                0.59823,                0.76231,                0.71566,                0.77998,                0.55896,                0.92663,                 1.3432,                0.49095,                 1.0259,              0.0013974,              0.0013974,              0.0013974
                     51,                0.87256,                 1.1751,                0.45074,                0.89482,                0.91741,                0.69506,                0.79411,                0.57548,                0.85212,                0.61637,                0.74869,                0.52176,                 0.9308,                 1.3643,                0.47526,                 1.0204,              0.0013919,              0.0013919,              0.0013919
                     52,                0.89739,                 1.1891,                  0.455,                0.90016,                0.90865,                0.76214,                0.85683,                0.61131,                0.88518,                0.74335,                0.83022,                0.56331,                0.92416,                 1.4078,                0.47746,                   1.02,              0.0013864,              0.0013864,              0.0013864
                     53,                0.84717,                 1.1422,                0.44862,                0.88792,                 0.8677,                0.82626,                 0.8627,                0.63889,                0.83732,                0.80213,                0.83357,                0.54833,                0.93373,                  1.401,                0.46992,                 1.0377,              0.0013809,              0.0013809,              0.0013809
                     54,                0.86132,                 1.1438,                0.44351,                0.89555,                0.73264,                0.82549,                0.74435,                0.50961,                0.70494,                0.80474,                0.71892,                0.42614,                0.94875,                 1.4507,                0.46757,                 1.0475,              0.0013754,              0.0013754,              0.0013754
                     55,                0.87066,                 1.1544,                0.44381,                0.89136,                0.69652,                0.68043,                0.63234,                0.45066,                0.69335,                0.69195,                0.61215,                0.37595,                0.91106,                 1.3711,                0.47957,                 1.0347,              0.0013699,              0.0013699,              0.0013699
                     56,                0.86279,                 1.1283,                 0.4437,                0.89445,                0.76473,                 0.6241,                0.68967,                0.53006,                0.76341,                0.60806,                0.66407,                0.45569,                0.93802,                 1.4372,                0.50541,                 1.0294,              0.0013644,              0.0013644,              0.0013644
                     57,                0.88333,                 1.1903,                0.45177,                0.89965,                 0.7918,                0.68925,                0.77272,                0.57657,                0.77884,                0.62526,                0.70622,                0.49171,                0.94064,                 1.3674,                0.47476,                 1.0334,              0.0013589,              0.0013589,              0.0013589
                     58,                0.87771,                 1.1669,                0.44663,                0.89096,                0.71119,                0.74672,                0.75702,                0.56057,                0.70014,                0.75749,                0.74004,                 0.5171,                0.91215,                 1.3918,                0.47674,                 1.0056,              0.0013534,              0.0013534,              0.0013534
                     59,                0.83941,                 1.1167,                0.43431,                0.89357,                0.82735,                0.75613,                0.81588,                0.63274,                0.79703,                0.73357,                0.78909,                0.58283,                0.93094,                 1.4113,                0.47709,                 1.0298,              0.0013479,              0.0013479,              0.0013479
                     60,                0.87623,                 1.1594,                0.44508,                0.88972,                0.85792,                 0.7725,                0.82198,                 0.6288,                 0.8493,                0.73904,                0.79673,                0.58097,                0.89854,                 1.3783,                0.48046,                 1.0109,              0.0013424,              0.0013424,              0.0013424
                     61,                0.85335,                 1.1216,                0.44169,                0.88761,                 0.9086,                0.70096,                 0.8044,                0.61956,                0.88652,                0.67541,                0.77817,                0.54428,                0.91056,                 1.3668,                0.48849,                 1.0143,              0.0013369,              0.0013369,              0.0013369
                     62,                0.84568,                 1.1134,                 0.4393,                0.88792,                0.85063,                0.79616,                0.83513,                0.59937,                0.82722,                 0.7397,                0.80458,                0.49268,                0.92735,                 1.4251,                0.49155,                 1.0198,              0.0013314,              0.0013314,              0.0013314
                     63,                0.85795,                 1.1421,                0.44356,                0.89098,                0.84015,                 0.6948,                0.80602,                0.60114,                0.97377,                0.57871,                0.74866,                0.53976,                0.90963,                 1.3839,                0.47036,                 1.0239,              0.0013259,              0.0013259,              0.0013259
                     64,                0.84403,                 1.1118,                0.43227,                0.88353,                0.83037,                0.77685,                0.83416,                0.62256,                0.81137,                0.76037,                0.80409,                0.55307,                0.89796,                 1.3531,                 0.4596,                 1.0113,              0.0013204,              0.0013204,              0.0013204
                     65,                0.86635,                 1.1114,                0.43157,                0.87656,                0.75552,                0.78164,                0.78132,                0.59333,                 0.7293,                0.75746,                0.75272,                0.52653,                0.93114,                 1.4112,                 0.4847,                 1.0169,              0.0013149,              0.0013149,              0.0013149
                     66,                0.84809,                 1.1027,                0.42966,                0.87946,                 0.9129,                0.82444,                 0.8612,                0.67898,                0.89422,                0.80072,                 0.8367,                0.61475,                0.88584,                 1.3274,                0.45518,                0.99802,              0.0013094,              0.0013094,              0.0013094
                     67,                  0.807,                 1.0685,                0.41604,                0.87453,                0.88417,                0.77288,                0.84761,                0.65111,                0.86192,                0.75632,                0.82466,                0.59199,                0.88926,                 1.3134,                0.44296,                 1.0035,              0.0013039,              0.0013039,              0.0013039
                     68,                0.82931,                 1.1005,                0.42256,                0.87837,                 0.8887,                0.80052,                0.83569,                0.63707,                0.86661,                0.77926,                0.80746,                0.57779,                0.91912,                 1.3633,                0.45987,                 1.0269,              0.0012984,              0.0012984,              0.0012984
                     69,                0.82051,                 1.0705,                0.42354,                0.88221,                0.76484,                0.69054,                0.76759,                 0.5469,                0.79124,                0.59089,                0.72061,                0.50318,                0.89223,                 1.3917,                0.47522,                 1.0147,              0.0012929,              0.0012929,              0.0012929
                     70,                0.81485,                 1.0702,                0.42474,                0.88194,                0.67539,                0.77662,                0.66499,                0.48876,                0.63647,                0.72849,                0.63359,                0.42079,                0.93062,                 1.4146,                0.48484,                 1.0255,              0.0012874,              0.0012874,              0.0012874
                     71,                0.82292,                 1.0922,                0.42129,                0.87578,                0.83732,                0.73972,                0.81295,                0.64087,                 0.8137,                0.71751,                0.78204,                0.56946,                0.90031,                   1.34,                0.46324,                 1.0247,              0.0012819,              0.0012819,              0.0012819
                     72,                0.82856,                  1.097,                0.42958,                0.88402,                 0.7437,                0.78731,                0.83534,                0.64777,                0.71449,                 0.7655,                0.80822,                0.57028,                 0.9233,                 1.3898,                0.47823,                 1.0241,              0.0012764,              0.0012764,              0.0012764
                     73,                0.80149,                 1.0695,                0.42347,                0.87801,                0.86821,                0.74476,                0.83339,                0.66704,                0.85594,                0.72284,                0.80828,                0.57278,                0.91232,                 1.4684,                0.46705,                 1.0251,              0.0012709,              0.0012709,              0.0012709
                     74,                0.80683,                  1.051,                0.41556,                0.87026,                0.83174,                0.76905,                0.82845,                 0.6141,                 0.8002,                0.74361,                0.80462,                0.55357,                 0.8961,                 1.3897,                0.45933,                 1.0195,              0.0012654,              0.0012654,              0.0012654
                     75,                0.80232,                 1.0509,                0.41545,                 0.8801,                0.89492,                0.78299,                0.82175,                0.60346,                0.86639,                0.76247,                0.79981,                0.53444,                0.91205,                 1.3937,                0.45078,                 1.0188,              0.0012599,              0.0012599,              0.0012599
                     76,                 0.8084,                 1.0701,                0.41612,                0.87533,                0.71719,                0.80024,                0.73326,                 0.5184,                0.69241,                0.77329,                0.71102,                0.47258,                0.90606,                 1.3703,                0.46466,                 1.0365,              0.0012544,              0.0012544,              0.0012544
                     77,                0.80386,                 1.0419,                0.41434,                0.87881,                0.70861,                0.72913,                0.73332,                0.54159,                0.69872,                0.71601,                 0.7166,                0.47948,                0.88475,                 1.3678,                 0.4688,                 1.0177,              0.0012489,              0.0012489,              0.0012489
                     78,                0.81007,                 1.0511,                0.42008,                0.87747,                0.81248,                0.82916,                0.84743,                0.65832,                 0.8737,                0.71902,                0.83172,                0.59596,                0.87553,                 1.3922,                0.45505,                 1.0138,              0.0012434,              0.0012434,              0.0012434
                     79,                0.81737,                 1.0638,                0.41328,                0.86721,                0.88406,                 0.7822,                0.85226,                0.69625,                 0.8844,                0.75037,                0.83086,                0.62163,                0.88573,                  1.364,                0.46104,                 1.0125,              0.0012379,              0.0012379,              0.0012379
                     80,                0.80557,                 1.0456,                0.41147,                0.87199,                0.93111,                0.75023,                0.83338,                0.66584,                0.90879,                0.73164,                0.80853,                0.60045,                0.85969,                 1.3348,                0.45078,                 1.0017,              0.0012324,              0.0012324,              0.0012324
