                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4577,                 2.7538,                 2.2046,                 1.1614,                0.07892,                0.34919,                0.05582,                0.03185,                0.06942,                0.20945,                0.04278,                0.02012,                 1.1729,                 3.3411,                    inf,                 1.0598,             0.00054274,             0.00054274,             0.00054274
                      2,                 1.4423,                 2.4143,                 1.0836,                 1.1391,                0.01652,                0.23164,                0.01075,                0.00552,                0.01444,                0.14643,                0.00902,                0.00434,                 2.0409,                    inf,                    inf,                  6.766,              0.0010948,              0.0010948,              0.0010948
                      3,                 1.4336,                 2.3216,                 1.0394,                 1.1795,                0.04087,                 0.1207,                0.02209,                0.01412,                0.04005,                0.15253,                0.02151,                0.01219,                  1.596,                 3.1446,                    inf,                 1.4658,              0.0016432,              0.0016432,              0.0016432
                      4,                 1.5017,                 2.3928,                0.97862,                 1.1584,                0.13833,                 0.1727,                0.08942,                0.04535,                0.13205,                0.15991,                0.08006,                0.03262,                 1.4115,                 2.5931,                 159.76,                 1.1653,              0.0016505,              0.0016505,              0.0016505
                      5,                 1.4213,                 2.1768,                0.87537,                 1.1361,                0.86257,                0.27263,                 0.2805,                 0.1518,                0.84646,                0.25607,                0.25649,                0.11809,                  1.145,                 2.1913,                 40.682,                 1.0241,               0.001645,               0.001645,               0.001645
                      6,                 1.3669,                 2.0323,                0.80672,                 1.1001,                0.88499,                0.27997,                0.29162,                0.15944,                 0.8779,                0.26106,                0.29501,                0.13448,                  1.153,                 1.8875,                 55.722,                 1.0454,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.3159,                 1.9683,                0.75054,                  1.081,                0.37686,                0.44416,                 0.3457,                0.18368,                0.42525,                0.49666,                0.41588,                0.17195,                 1.0919,                 1.8072,                 15.092,                0.98766,               0.001634,               0.001634,               0.001634
                      8,                 1.2905,                 1.9515,                0.75062,                  1.073,                0.44562,                0.39724,                0.32617,                0.18921,                0.43623,                0.37408,                0.30198,                 0.1446,                 1.0437,                 1.6849,                 6.0389,                0.94673,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.2194,                 1.8172,                0.70664,                 1.0654,                0.53265,                0.41152,                0.36254,                0.21464,                0.58461,                0.41389,                0.37337,                0.17382,                  1.061,                 1.6642,                 5.7623,                0.95618,               0.001623,               0.001623,               0.001623
                     10,                 1.2361,                 1.8337,                 0.6836,                  1.046,                0.45262,                0.38637,                0.36359,                0.22093,                0.41952,                0.35791,                0.32593,                0.16706,                0.99151,                 1.7052,                 3.2277,                0.91782,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.2173,                 1.8659,                0.70588,                 1.0587,                0.40522,                 0.3851,                0.39496,                0.23534,                0.39115,                0.37191,                0.37634,                0.20469,                 1.0204,                 1.5759,                 5.1917,                 0.9545,               0.001612,               0.001612,               0.001612
                     12,                 1.2222,                 1.7326,                0.67643,                 1.0447,                 0.4192,                0.48879,                0.38815,                0.23005,                0.44014,                0.50095,                0.42396,                0.19293,                 0.9871,                 1.5091,                 1.0351,                0.90026,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.1844,                 1.7263,                0.65613,                 1.0298,                0.57222,                0.38464,                0.46621,                0.28543,                0.44152,                 0.5038,                0.44637,                0.24804,                0.98026,                 1.5766,                0.93902,                0.91947,               0.001601,               0.001601,               0.001601
                     14,                 1.1959,                 1.6949,                0.64291,                  1.022,                  0.941,                 0.3015,                0.37324,                 0.2344,                0.92149,                0.28514,                0.35675,                0.19116,                0.95069,                  1.497,                  6.104,                0.89574,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.1332,                 1.6543,                0.61118,                 1.0018,                0.41626,                0.36283,                0.35284,                 0.2295,                0.38915,                0.33944,                0.32885,                0.18092,                0.92734,                 1.4559,                  1.157,                0.89044,                0.00159,                0.00159,                0.00159
                     16,                 1.1265,                 1.6065,                0.61683,                 1.0184,                0.68906,                0.35294,                0.41701,                0.26508,                0.65965,                0.32978,                0.39121,                0.21044,                0.96657,                 1.5036,                0.67504,                0.90223,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.0833,                 1.5786,                0.61207,                  1.009,                0.49317,                0.40864,                0.39313,                0.24177,                0.56453,                0.62419,                0.49815,                0.22082,                0.93303,                 1.4181,                0.79261,                0.86513,               0.001579,               0.001579,               0.001579
                     18,                 1.1145,                 1.5759,                0.60297,                0.99734,                0.48721,                0.39443,                0.40613,                0.25045,                0.44686,                0.54624,                0.45843,                0.21469,                0.94974,                 1.3779,                 6.9536,                 0.8847,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.1168,                 1.5681,                0.60044,                 1.0064,                0.61938,                0.38197,                0.40438,                0.25408,                0.54804,                0.60841,                0.53388,                0.22685,                0.90282,                 1.3398,                 12.128,                0.86215,               0.001568,               0.001568,               0.001568
                     20,                 1.0821,                 1.5551,                0.60059,                0.99699,                0.56211,                0.35442,                 0.3944,                0.25947,                0.53442,                0.33425,                0.38244,                0.21406,                0.90751,                 1.3556,                 1.0398,                0.85017,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.0833,                   1.55,                0.58191,                0.98136,                0.68001,                0.42442,                0.45383,                0.30258,                0.65815,                0.43955,                0.48715,                0.24689,                0.88018,                 1.2829,                0.63425,                0.84413,               0.001557,               0.001557,               0.001557
                     22,                 1.0523,                 1.4751,                0.57609,                0.97936,                0.55513,                0.43341,                0.42773,                0.27779,                0.54689,                0.51302,                0.47651,                0.23695,                 0.8822,                 1.2973,                0.75589,                0.85203,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.0368,                 1.4454,                   0.56,                0.98185,                0.65574,                0.41959,                0.45407,                 0.2899,                0.62827,                0.39896,                0.46709,                0.24168,                0.90927,                 1.3261,                0.98353,                0.87973,               0.001546,               0.001546,               0.001546
                     24,                 1.0683,                 1.5071,                0.57661,                      1,                0.54968,                0.41869,                0.44984,                0.30552,                0.49332,                0.51354,                0.47419,                0.25296,                0.90073,                 1.3176,                 1.4442,                0.87392,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.0536,                  1.436,                0.55152,                0.95797,                0.44235,                0.47147,                 0.4371,                0.27657,                0.52423,                0.57957,                0.50275,                0.23636,                0.89886,                  1.313,                 1.6982,                0.85504,               0.001535,               0.001535,               0.001535
                     26,                 1.0643,                  1.472,                0.56476,                0.97723,                0.52748,                0.52293,                0.45486,                0.30451,                0.58311,                0.68648,                0.51883,                0.25838,                0.86898,                 1.2553,                 1.4734,                0.83806,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0168,                 1.4883,                0.55877,                0.98567,                0.59668,                0.40227,                0.44219,                0.29504,                0.46024,                0.58533,                0.47325,                0.24747,                0.90865,                 1.3507,                0.75439,                0.85816,               0.001524,               0.001524,               0.001524
                     28,                 1.0301,                 1.4476,                0.55322,                0.97766,                0.75191,                0.43018,                0.48725,                0.30993,                0.51507,                0.60968,                0.53461,                0.25985,                0.90816,                 1.3587,                 0.5343,                0.84822,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.0164,                 1.3783,                0.54557,                0.96503,                0.50166,                0.46064,                 0.4182,                0.27649,                 0.5311,                 0.6475,                0.47589,                0.23404,                0.86523,                   1.22,                 1.1647,                0.84111,               0.001513,               0.001513,               0.001513
                     30,                 1.0148,                 1.4314,                  0.537,                0.97147,                0.71011,                0.52166,                0.57415,                0.31707,                 0.6706,                0.60046,                0.65796,                0.29452,                0.86523,                 1.2814,                0.48755,                0.83788,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.0344,                 1.4235,                0.54331,                0.97212,                0.81997,                0.38396,                0.47436,                0.30021,                0.45018,                0.55614,                0.48843,                0.26064,                0.87835,                 1.2494,                 3.7876,                0.84325,               0.001502,               0.001502,               0.001502
                     32,                 1.0278,                 1.4003,                0.53631,                0.96294,                0.53734,                0.43537,                0.42419,                0.27464,                0.50917,                0.41233,                0.41897,                0.23257,                0.85007,                  1.238,                0.65223,                0.83403,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.0188,                 1.4079,                 0.5263,                0.96714,                0.68499,                0.38867,                0.44208,                0.30726,                0.66081,                0.37133,                0.44332,                 0.2527,                 0.8521,                  1.202,                0.51024,                0.84106,               0.001491,               0.001491,               0.001491
                     34,                0.99084,                 1.3121,                0.52803,                0.95438,                  0.608,                0.43733,                0.45942,                0.30047,                0.63084,                0.44451,                0.49866,                0.26309,                0.85224,                 1.2294,                 0.6937,                0.83242,              0.0014855,              0.0014855,              0.0014855
                     35,                0.99312,                 1.3372,                0.51721,                0.95044,                0.76098,                0.35142,                0.44224,                0.29557,                0.43225,                0.65522,                0.44684,                0.24792,                  0.848,                 1.1916,                0.46493,                0.83702,                0.00148,                0.00148,                0.00148
                     36,                0.97529,                 1.3538,                0.51299,                0.94718,                0.60246,                0.43719,                0.46907,                0.31071,                0.56789,                0.41175,                0.46809,                0.25412,                0.84857,                 1.1546,                0.47072,                0.82966,              0.0014745,              0.0014745,              0.0014745
                     37,                0.96502,                 1.3236,                0.50422,                0.93274,                0.70268,                0.44091,                0.50703,                0.32524,                0.48572,                0.41843,                0.53665,                0.28047,                0.83528,                 1.1845,                0.51642,                0.82567,               0.001469,               0.001469,               0.001469
                     38,                0.98591,                 1.3502,                0.53297,                0.95401,                0.51648,                0.40123,                0.40432,                0.27705,                 0.4861,                0.37784,                0.39113,                0.21992,                0.82158,                 1.2029,                0.83169,                0.81685,              0.0014635,              0.0014635,              0.0014635
                     39,                0.96931,                 1.3026,                0.51373,                0.93655,                0.66714,                0.42523,                 0.4797,                0.32337,                0.69665,                0.43771,                0.51552,                0.26681,                0.85034,                 1.2303,                0.91905,                0.83281,               0.001458,               0.001458,               0.001458
                     40,                0.95461,                 1.2711,                0.49652,                0.94409,                0.77417,                0.43134,                0.50924,                0.34859,                0.54322,                0.65292,                0.57329,                0.30657,                0.82151,                 1.1675,                0.49899,                0.82163,              0.0014525,              0.0014525,              0.0014525
                     41,                0.97708,                   1.33,                0.50468,                0.93543,                0.71927,                0.42869,                0.49865,                0.33505,                0.68797,                0.40507,                0.50479,                0.28036,                0.83035,                 1.1693,                0.49569,                0.81855,               0.001447,               0.001447,               0.001447
                     42,                0.97557,                 1.3161,                 0.5112,                0.93927,                0.79557,                0.43232,                0.54918,                0.37551,                0.50497,                0.52028,                 0.5338,                0.34547,                0.80869,                 1.1621,                0.54811,                0.82897,              0.0014415,              0.0014415,              0.0014415
                     43,                0.97532,                 1.3066,                0.49676,                0.93367,                0.56144,                0.52994,                0.53739,                0.35198,                0.56454,                0.70645,                0.56195,                0.30173,                0.83489,                 1.2295,                0.98818,                0.83449,               0.001436,               0.001436,               0.001436
                     44,                0.94895,                 1.2861,                0.49418,                0.93988,                0.69289,                0.46372,                0.55335,                0.33658,                0.64108,                0.58084,                0.60885,                0.29754,                0.81537,                 1.1837,                0.48024,                0.82199,              0.0014305,              0.0014305,              0.0014305
                     45,                0.96925,                 1.3263,                0.49763,                0.93082,                0.54671,                0.70803,                0.50773,                0.31358,                0.58292,                0.78084,                0.54511,                0.26631,                0.83001,                 1.1746,                 0.5421,                0.81993,               0.001425,               0.001425,               0.001425
                     46,                0.92316,                 1.2692,                0.48094,                0.93149,                0.63815,                0.60941,                0.58782,                0.34941,                0.77356,                0.78706,                0.73812,                0.33082,                0.80862,                 1.2019,                0.43741,                0.81228,              0.0014195,              0.0014195,              0.0014195
                     47,                0.91363,                 1.2651,                0.48237,                0.94716,                0.57889,                 0.5717,                0.51357,                0.32873,                 0.6296,                0.56475,                 0.5583,                0.28088,                0.80045,                  1.156,                0.44324,                0.81332,              0.0014139,              0.0014139,              0.0014139
                     48,                0.94028,                 1.2785,                0.49326,                0.93045,                0.82521,                0.43283,                0.51173,                0.34827,                0.60204,                0.62039,                0.61138,                0.29972,                0.79713,                 1.1432,                0.44895,                0.81219,              0.0014084,              0.0014084,              0.0014084
                     49,                0.93092,                 1.2531,                0.48245,                 0.9323,                0.93932,                0.42991,                0.51286,                0.35387,                0.55365,                0.52189,                0.55208,                0.29431,                0.82495,                 1.1815,                0.44864,                0.82004,              0.0014029,              0.0014029,              0.0014029
                     50,                0.92832,                 1.2539,                0.47865,                0.93493,                0.57533,                0.44067,                0.45907,                0.31559,                0.48398,                0.59224,                0.50994,                0.26477,                0.80864,                 1.1411,                 0.6197,                0.81522,              0.0013974,              0.0013974,              0.0013974
                     51,                0.95247,                 1.2783,                0.48083,                0.91973,                0.73631,                0.44067,                0.52009,                0.34888,                0.52802,                 0.6227,                0.58352,                0.29318,                0.78607,                 1.1181,                0.47891,                0.81061,              0.0013919,              0.0013919,              0.0013919
                     52,                0.88857,                 1.1739,                0.45731,                0.90477,                0.69583,                 0.4576,                 0.5276,                0.35172,                0.72188,                0.63748,                0.65648,                0.31721,                0.79421,                 1.1134,                0.41298,                0.80568,              0.0013864,              0.0013864,              0.0013864
                     53,                0.92273,                 1.2439,                0.47285,                0.91415,                0.60411,                0.60388,                0.52639,                 0.3246,                0.62056,                0.69581,                0.58564,                0.28286,                0.80456,                 1.1544,                0.46756,                0.81282,              0.0013809,              0.0013809,              0.0013809
                     54,                0.90009,                 1.2023,                0.46287,                0.90832,                0.59779,                0.50005,                 0.5402,                0.35624,                0.53828,                0.60343,                 0.5787,                0.30536,                0.78988,                 1.0995,                0.42939,                0.80669,              0.0013754,              0.0013754,              0.0013754
                     55,                0.87152,                 1.1881,                0.46172,                0.92013,                0.63048,                0.43802,                0.48787,                  0.322,                 0.4945,                0.75488,                0.47989,                0.26631,                0.79257,                 1.1265,                0.43343,                0.80247,              0.0013699,              0.0013699,              0.0013699
                     56,                0.90427,                 1.2029,                 0.4675,                0.91644,                0.92661,                0.39835,                0.52343,                0.34886,                0.58185,                0.62742,                0.59662,                0.30727,                0.80063,                 1.1246,                0.71622,                0.81947,              0.0013644,              0.0013644,              0.0013644
                     57,                0.91446,                 1.2201,                0.47571,                0.91738,                 0.5797,                0.40411,                0.44382,                0.29984,                0.54332,                0.65799,                0.52005,                 0.2636,                0.78532,                 1.0974,                  1.397,                0.80769,              0.0013589,              0.0013589,              0.0013589
                     58,                0.89811,                 1.2131,                0.46884,                0.91822,                0.51343,                0.61041,                0.47884,                0.31536,                0.55096,                0.75764,                0.51627,                0.28763,                0.78794,                 1.1237,                0.43964,                0.80941,              0.0013534,              0.0013534,              0.0013534
                     59,                0.89815,                 1.2142,                0.46448,                0.92217,                0.57073,                0.43041,                0.47667,                0.33006,                0.54086,                0.75476,                 0.5144,                0.28468,                0.77802,                 1.1024,                0.49009,                0.80263,              0.0013479,              0.0013479,              0.0013479
                     60,                0.89183,                 1.1932,                0.45832,                 0.9087,                0.53234,                0.50536,                0.49436,                 0.3393,                0.55721,                 0.7881,                0.53637,                0.28847,                0.76244,                 1.0898,                0.43838,                0.79512,              0.0013424,              0.0013424,              0.0013424
                     61,                0.88075,                 1.2162,                 0.4616,                  0.923,                0.57204,                0.60916,                0.55052,                0.36409,                0.63059,                0.74508,                0.62125,                0.32823,                0.79158,                  1.115,                0.43205,                0.81056,              0.0013369,              0.0013369,              0.0013369
                     62,                0.87942,                 1.1768,                0.45983,                0.91511,                0.57923,                0.43986,                0.47809,                0.32915,                0.51216,                0.67727,                0.50718,                0.28063,                0.76534,                 1.0793,                0.47435,                0.80679,              0.0013314,              0.0013314,              0.0013314
