                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5424,                 3.2559,                 2.3866,                 1.2795,                0.29182,                0.55892,                 0.2078,                0.11534,                0.28237,                0.54083,                0.19778,                0.09827,                    nan,                    nan,                    nan,                    nan,                0.00032,                0.00032,                0.00032
                      2,                 1.3162,                 2.2484,                0.98354,                 1.0787,                0.12177,                0.50929,                0.09542,                0.06036,                0.11725,                0.49081,                0.09075,                0.04986,                  1.342,                 3.4639,                    inf,                 1.3264,             0.00065782,             0.00065782,             0.00065782
                      3,                 1.2946,                 2.1273,                0.80138,                 1.0662,                 0.0443,                0.19682,                0.02575,                0.01201,                0.03464,                0.15477,                0.01951,                0.00873,                 2.1761,                 11.592,                    inf,                 1.9584,              0.0009934,              0.0009934,              0.0009934
                      4,                 1.3576,                 2.2364,                0.84507,                  1.099,                0.00762,                0.03619,                0.00399,                0.00137,                 0.0071,                0.03374,                0.00371,                0.00129,                 3.7225,                  18.15,                    inf,                 4.8729,              0.0013267,              0.0013267,              0.0013267
                      5,                  1.319,                 2.1676,                0.76179,                 1.0543,                0.24696,                0.06333,                0.04762,                0.02697,                0.19493,                0.05721,                0.03699,                0.02062,                 1.5592,                  9.688,                 8.1476,                 1.7793,              0.0016578,              0.0016578,              0.0016578
                      6,                 1.3528,                 2.3144,                0.75948,                  1.054,                0.37308,                0.19633,                0.14482,                0.07404,                0.36324,                 0.1846,                0.13399,                0.06522,                 2.6445,                 15.196,                 4.1258,                 2.4059,               0.001967,               0.001967,               0.001967
                      7,                 1.3357,                 2.3525,                0.74096,                  1.034,                0.63491,                0.42152,                 0.4711,                0.26272,                0.64014,                 0.4176,                0.46954,                0.24524,                 1.3796,                  4.088,                 4.3438,                 1.3512,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.3209,                 2.1416,                  0.768,                  1.065,                0.82076,                0.57751,                0.63216,                0.38233,                0.79022,                0.54523,                0.59367,                  0.294,                 1.4725,                 3.4303,                 1.6554,                 1.3261,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.2635,                  2.091,                0.68069,                 1.0247,                0.82749,                0.59193,                 0.6433,                0.40107,                0.79971,                0.56064,                0.59642,                0.31905,                 1.1742,                 2.9835,                 1.6683,                 1.1138,              0.0019472,              0.0019472,              0.0019472
                     10,                  1.223,                 1.8931,                0.65051,                0.99845,                0.75971,                0.58533,                 0.6222,                0.39911,                 0.7474,                0.55477,                0.59029,                0.32839,                 1.2075,                 2.6644,                 2.4241,                 1.2587,              0.0019406,              0.0019406,              0.0019406
                     11,                  1.223,                 1.7825,                0.64924,                 1.0203,                0.76423,                0.56235,                0.60874,                0.38838,                0.75376,                0.53888,                 0.5823,                0.32803,                 1.1341,                 2.2894,                 2.6419,                 1.1524,               0.001934,               0.001934,               0.001934
                     12,                 1.2064,                 1.8148,                0.61557,                0.98847,                0.81156,                0.58117,                  0.641,                0.40591,                0.81618,                0.54931,                0.60734,                0.33405,                 1.1639,                  2.037,                 1.3298,                 1.1506,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.1758,                 1.7786,                0.62853,                 1.0015,                0.83589,                0.58654,                0.63179,                0.35442,                 0.8104,                0.57166,                0.62073,                0.33101,                 1.5672,                 2.3883,                 0.9317,                 1.6729,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.1349,                 1.6551,                0.59207,                0.97385,                0.83361,                0.58093,                0.63159,                0.36196,                0.82995,                0.55489,                0.61288,                0.31922,                 1.3425,                  2.245,                0.83582,                 1.3106,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.1158,                 1.5484,                0.58887,                0.96772,                0.84349,                0.61296,                0.66684,                0.40449,                0.82224,                0.56546,                0.62866,                0.33563,                 1.1987,                 2.0036,                0.88952,                 1.1701,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.1051,                 1.5791,                0.58769,                 0.9722,                0.86546,                 0.6555,                0.72472,                0.46695,                0.85485,                0.63069,                0.70197,                0.40238,                 1.0325,                  1.685,                0.62739,                 1.0565,               0.001901,               0.001901,               0.001901
                     17,                 1.1523,                  1.568,                0.57321,                0.96794,                0.87549,                0.66895,                0.72932,                0.47667,                0.87002,                0.63961,                0.70834,                0.42027,                  1.039,                 1.6982,                 0.6091,                 1.0708,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.0953,                 1.5093,                0.56275,                0.96072,                0.87823,                0.64474,                0.69969,                 0.4504,                0.85189,                0.62722,                0.67726,                0.37378,                  1.056,                 1.7422,                0.68873,                 1.0605,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.0125,                 1.4554,                0.54241,                0.95223,                  0.824,                0.61701,                0.63461,                0.39315,                0.77899,                0.56039,                0.55825,                0.28475,                 1.0302,                 2.1105,                0.66861,                 1.0396,              0.0018812,              0.0018812,              0.0018812
                     20,                  1.054,                 1.4851,                0.54141,                0.94101,                0.79929,                0.51516,                0.60586,                0.37554,                0.78121,                0.49756,                0.58205,                0.32912,                 1.1112,                 2.0669,                0.66663,                 1.0696,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.0858,                 1.5493,                0.54062,                0.96301,                0.87168,                 0.6627,                0.72536,                0.46433,                0.83679,                0.61125,                0.66703,                0.36057,                 1.0754,                 1.9446,                0.62364,                 1.0712,               0.001868,               0.001868,               0.001868
                     22,                 1.0485,                 1.4717,                0.53864,                0.95527,                0.87327,                0.67164,                0.73457,                0.49121,                0.85939,                0.62911,                0.70076,                0.40726,                 1.0941,                   1.81,                 0.5876,                  1.089,              0.0018614,              0.0018614,              0.0018614
                     23,                   1.05,                 1.4644,                0.54442,                 0.9693,                0.89719,                0.66787,                0.74236,                0.48989,                0.87317,                0.60929,                0.68491,                0.37871,                 1.1148,                 1.7936,                0.63116,                 1.0849,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.0398,                 1.4257,                0.52926,                0.94472,                0.89059,                0.67579,                0.73097,                0.48031,                0.86576,                0.62616,                0.67392,                0.37627,                 1.0073,                 1.6457,                0.57223,                 1.0226,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.0153,                 1.3782,                0.51859,                0.93588,                0.89185,                0.67702,                0.73471,                0.49622,                 0.8743,                0.63814,                0.69505,                0.40356,                0.98337,                 1.4992,                  0.603,                 1.0254,              0.0018416,              0.0018416,              0.0018416
                     26,                0.99816,                 1.4086,                0.51703,                0.94295,                0.90663,                0.68631,                0.75367,                0.51035,                0.88681,                0.63227,                0.70342,                0.39883,                 1.0321,                 1.5714,                0.58148,                 1.0696,               0.001835,               0.001835,               0.001835
                     27,                0.98892,                 1.3789,                0.51321,                0.93249,                0.90263,                 0.6846,                0.74325,                0.50278,                0.86142,                 0.6429,                0.69679,                 0.3972,                0.98765,                 1.5588,                0.57378,                 1.0524,              0.0018284,              0.0018284,              0.0018284
                     28,                0.98837,                 1.3713,                 0.5078,                0.92921,                0.90632,                0.68313,                 0.7366,                 0.5013,                0.88641,                0.63814,                0.69557,                0.41247,                0.98208,                 1.5767,                0.60533,                 1.0311,              0.0018218,              0.0018218,              0.0018218
                     29,                0.96894,                  1.337,                0.50526,                0.92925,                0.91023,                0.68191,                0.76826,                0.52822,                0.88761,                0.64645,                0.73576,                 0.4502,                0.98644,                 1.5514,                0.53285,                 1.0514,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.0229,                 1.3848,                0.51082,                0.93862,                0.89785,                0.68555,                0.74598,                0.50071,                0.86455,                0.64645,                0.70535,                0.40381,                0.95834,                 1.6332,                0.55958,                 1.0234,              0.0018086,              0.0018086,              0.0018086
                     31,                0.97133,                 1.3531,                0.50473,                0.93304,                0.90081,                 0.6868,                 0.7337,                0.49663,                0.87424,                0.63058,                0.68185,                0.39495,                0.96832,                 1.6225,                 0.5702,                 1.0175,               0.001802,               0.001802,               0.001802
                     32,                0.98886,                 1.3666,                0.50616,                0.92614,                0.91567,                0.66724,                0.72643,                0.49068,                0.87531,                0.62646,                0.67394,                0.37869,                0.99439,                 1.6912,                0.57455,                 1.0042,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.0027,                 1.3271,                0.49993,                0.92483,                0.91716,                0.69299,                0.76769,                0.52966,                0.88673,                0.64156,                0.72063,                0.42605,                0.94822,                 1.5951,                0.52484,                 0.9966,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.0171,                 1.3702,                0.49737,                0.91938,                0.92239,                 0.6802,                0.78233,                0.54026,                0.87435,                 0.6329,                0.72958,                0.42645,                 0.9393,                 1.6495,                 0.5238,                0.99259,              0.0017822,              0.0017822,              0.0017822
